last_name, first_name,player_id,name_abbrev,team_id,position_name,age,bat_side,seconds_since_hit_000,seconds_since_hit_005,seconds_since_hit_010,seconds_since_hit_015,seconds_since_hit_020,seconds_since_hit_025,seconds_since_hit_030,seconds_since_hit_035,seconds_since_hit_040,seconds_since_hit_045,seconds_since_hit_050,seconds_since_hit_055,seconds_since_hit_060,seconds_since_hit_065,seconds_since_hit_070,seconds_since_hit_075,seconds_since_hit_080,seconds_since_hit_085,seconds_since_hit_090
Castro, Jason,488771,MIN,142,C,30,L,0.00,0.54,0.83,1.10,1.35,1.58,1.80,2.01,2.21,2.41,2.61,2.80,2.98,3.17,3.35,3.54,3.72,3.91,4.11
Castro, Starlin,516770,NYY,147,2B,27,R,0.00,0.54,0.83,1.09,1.34,1.56,1.78,1.98,2.17,2.36,2.55,2.73,2.91,3.09,3.26,3.44,3.61,3.79,3.99
Cecchini, Gavin,608325,NYM,121,2B,23,R,0.00,0.55,0.84,1.10,1.35,1.58,1.79,2.00,2.19,2.38,2.57,2.75,2.93,3.11,3.29,3.46,3.64,3.82,4.01
Cervelli, Francisco,465041,PIT,134,C,31,R,0.00,0.55,0.87,1.15,1.41,1.65,1.87,2.09,2.29,2.50,2.69,2.89,3.08,3.27,3.46,3.65,3.84,4.03,4.23
Cespedes, Yoenis,493316,NYM,121,LF,31,R,0.00,0.54,0.84,1.10,1.34,1.57,1.78,1.98,2.17,2.35,2.54,2.71,2.89,3.06,3.24,3.41,3.58,3.76,3.93
Chapman, Matt,656305,OAK,133,3B,24,R,0.00,0.52,0.81,1.07,1.31,1.54,1.75,1.95,2.14,2.32,2.50,2.68,2.86,3.03,3.20,3.37,3.54,3.71,3.88
Chirinos, Robinson,455139,TEX,140,C,33,R,0.00,0.53,0.84,1.11,1.36,1.60,1.82,2.04,2.25,2.45,2.65,2.84,3.04,3.23,3.43,3.63,3.83,4.04,4.26
Chisenhall, Lonnie,502082,CLE,114,RF,28,L,0.00,0.52,0.82,1.08,1.33,1.56,1.78,1.99,2.19,2.38,2.57,2.75,2.94,3.12,3.30,3.48,3.67,3.86,4.05
Choo, Shin-Soo,425783,TEX,140,RF,34,L,0.00,0.54,0.83,1.10,1.35,1.58,1.79,2.00,2.20,2.39,2.58,2.77,2.95,3.13,3.32,3.50,3.69,3.88,4.10
Coghlan, Chris,458085,TOR,141,3B,32,L,0.00,0.53,0.82,1.08,1.33,1.56,1.78,1.99,2.19,2.39,2.58,2.77,2.96,3.15,3.33,3.52,3.70,3.89,4.08
Collins, Tyler,607385,DET,116,CF,27,L,0.00,0.52,0.80,1.05,1.29,1.52,1.73,1.92,2.12,2.30,2.48,2.66,2.84,3.01,3.18,3.36,3.53,3.71,3.89
Colón, Christian,518568,MIA,146,3B,28,R,0.00,0.56,0.88,1.16,1.42,1.66,1.89,2.10,2.31,2.51,2.71,2.90,3.10,3.29,3.47,3.66,3.85,4.04,4.24
Conforto, Michael,624424,NYM,121,LF,24,L,0.00,0.53,0.82,1.08,1.31,1.54,1.75,1.95,2.14,2.33,2.51,2.69,2.87,3.04,3.22,3.39,3.57,3.75,3.94
Contreras, Willson,575929,CHC,112,C,25,R,0.00,0.55,0.84,1.10,1.34,1.56,1.78,1.98,2.17,2.36,2.55,2.73,2.91,3.09,3.26,3.44,3.62,3.80,3.99
Cordero, Franchy,614173,SD,135,CF,22,L,0.00,0.51,0.79,1.03,1.26,1.47,1.67,1.86,2.05,2.22,2.40,2.57,2.74,2.90,3.06,3.22,3.38,3.55,3.72
Correa, Carlos,621043,HOU,117,SS,22,R,0.00,0.54,0.83,1.10,1.34,1.57,1.78,1.98,2.18,2.36,2.55,2.73,2.90,3.08,3.25,3.43,3.60,3.78,3.96
