year,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,first_name,last_name,time_second_base,time_third_base
2019,85.3,0.71,Elias,Díaz,202.8712590855803,143.76554841735054
2019,87.9,0.73,Gary,Sanchez,196.87051649601818,139.51309761092148
2019,83.2,0.66,Manny,Piña,207.99180769230767,147.39424615384613
2019,84.1,0.69,Yadier,Molina,205.76597384066588,145.81689988109392
2019,83.2,0.7,Luke,Maile,207.99180769230767,147.39424615384613
2019,84.7,0.7,Jacob,Stallings,204.30836363636365,144.7839584415584
2019,81.6,0.69,Mike,Zunino,212.07007843137256,150.2843294117647
2019,79.9,0.65,Welington,Castillo,216.5822077596996,153.48186833541928
2019,87.3,0.76,Martín,Maldonado,198.223578465063,140.4719505154639
2019,79.9,0.64,Tony,Wolters,216.5822077596996,153.48186833541928
2019,83.2,0.68,Austin,Hedges,207.99180769230767,147.39424615384613
2019,88.2,0.75,Jorge,Alfaro,196.2008888888889,139.0385632653061
2019,79.0,0.63,Reese,McGuire,219.04959999999997,155.23039594936708
2019,83.5,0.69,Anthony,Bemboom,207.24453173652694,146.86468598802395
2019,82.6,0.73,Roberto,Perez,209.5026440677966,148.46490653753028
2019,78.1,0.68,Dustin,Garneau,221.57385915492958,157.01922253521127
2019,83.0,0.77,Kevan,Smith,208.49299277108435,147.7494130120482
2019,80.0,0.66,Josh,Phegley,216.31148,153.290016
2019,82.9,0.77,Mitch,Garver,208.74449215922797,147.92763908323278
2019,83.8,0.74,Pedro,Severino,206.5026062052506,146.33891742243438
2019,83.0,0.73,Buster,Posey,208.49299277108435,147.7494130120482
2019,80.5,0.66,Yan,Gomes,214.96793043478263,152.3379040993789
2019,85.8,0.76,Grayson,Greiner,201.68902564102564,142.92775384615382
2019,78.7,0.67,Sandy,Leon,219.8846048284625,155.82212554002538
2019,80.2,0.68,Francisco,Cervelli,215.77204987531172,152.90774663341645
2019,78.9,0.72,Austin,Wynns,219.32722940430924,155.42713916349805
2019,83.6,0.72,Will,Smith,206.9966315789474,146.6890105263158
2019,78.8,0.76,Willians,Astudillo,219.60556345177667,155.6243817258883
2019,76.3,0.76,Bobby,Wilson,226.80102752293575,160.72347680209697
2019,81.5,0.71,Christian,Vázquez,212.33028711656442,150.46872736196318
2019,82.8,0.72,John,Hicks,208.99659903381644,148.1062956521739
2019,81.5,0.74,Alex,Avila,212.33028711656442,150.46872736196318
2019,80.1,0.69,Jonathan,Lucroy,216.0414282147316,153.0986426966292
2019,82.5,0.74,Meibrys,Viloria,209.7565866666667,148.64486399999998
2019,78.0,0.66,Isiah,Kiner-Falefa,221.8579282051282,157.22052923076924
2019,81.6,0.71,Wilson,Ramos,212.07007843137256,150.2843294117647
2019,80.9,0.75,Erik,Kratz,213.90504820766375,151.58468825710753
2019,81.1,0.75,James,McCann,213.37753884093712,151.21086658446364
2019,83.9,0.73,Andrew,Knapp,206.2564767580453,146.16449678188317
2019,79.3,0.71,Matt,Wieters,218.2209129886507,154.64314350567466
2019,80.5,0.71,Nick,Hundley,214.96793043478263,152.3379040993789
2019,82.5,0.74,Carson,Kelly,209.7565866666667,148.64486399999998
2019,76.3,0.69,Jose,Trevino,226.80102752293575,160.72347680209697
2019,78.1,0.69,Bryan,Holaday,221.57385915492958,157.01922253521127
